time,heatCapacitor_T,switch_Controll
7.28,47.43650022387163,0.0
7.3,47.562120026455375,0.0
7.32,47.687408169940056,0.0
7.34,47.81236465432579,0.0
7.36,47.93698947961252,0.0
7.38,48.06128264580019,0.0
7.4,48.185244152888856,0.0
7.42,48.30887400087852,0.0
7.44,48.43217218976923,0.0
7.46,48.55513871956089,0.0
7.48,48.67777359025348,0.0
7.5,48.800076801847126,0.0
7.52,48.92204835434177,0.0
7.54,49.04368824773735,0.0
7.55303,49.12275821360771,0.0
7.55303,49.12275821360771,0.0
7.56,49.16493905632984,0.0
7.58,49.11497989568676,1.0
7.6,49.05695989511884,1.0
7.62,48.99915295195922,1.0
7.64,48.94142280265089,1.0
7.66,48.88376944719391,1.0
7.68,48.82619288558823,1.0
7.7,48.768693117833834,1.0
7.72,48.71127014393079,1.0
7.74,48.65392396387898,1.0
7.76,48.596758792757385,1.0
7.78,48.53969515288429,1.0
7.8,48.48273289188427,1.0
7.82,48.42587200975731,1.0
7.83714,48.377222903427594,1.0
7.83714,48.377222903427594,1.0
7.84,48.369112777653186,1.0
7.86,48.44610853440821,0.0
7.88,48.568680870394644,0.0
7.9,48.69080596364188,0.0
7.92,48.8127172342995,0.0
7.94,48.93441468236756,0.0
7.96,49.05589830784601,0.0
7.98,49.17707448257619,0.0
8.0,49.2978899942853,0.0
8.02,49.418197139272024,0.0
8.04,49.5382302167086,0.0
8.06,49.65779376360217,0.0
8.08,49.777148368389874,0.0
8.1,49.89629403107176,0.0
8.12,50.015230751647834,0.0
8.14,50.133908291068735,0.0
8.16,50.25220163467884,0.0
8.18,50.37021911159661,0.0
8.2,50.487960721822105,0.0
8.22,50.60542646535532,0.0
8.24,50.722611956517824,0.0
8.26,50.83946420085687,0.0
8.28,50.956021156501095,0.0
8.28427,50.98086781450138,0.0
8.28427,50.98086781450138,0.0
8.3,50.96154813548867,1.0
8.32,50.89993081170451,1.0
8.34,50.83859020170047,1.0
8.36,50.77733090377046,1.0
8.38,50.7161529179146,1.0
8.4,50.65505624413282,1.0
8.42,50.59404088242513,1.0
8.44,50.53310683279153,1.0
8.46,50.47225409523196,1.0
8.48,50.41148266974653,1.0
8.5,50.35079255633519,1.0
8.52,50.29018375499794,1.0
8.54,50.22975843311559,1.0
8.56,50.16948132718744,1.0
8.58,50.109311092138796,1.0
8.6,50.04924772796966,1.0
8.62,49.98929123468008,1.0
8.64,49.92944161227007,1.0
8.66,49.86969886073956,1.0
8.68,49.81006298008856,1.0
8.7,49.75053397031712,1.0
8.72,49.69111183142519,1.0
8.74,49.63179656341276,1.0
8.76,49.572622287236754,1.0
8.78,49.513567310975986,1.0
8.8,49.45462608057369,1.0
8.82,49.39579859602992,1.0
8.84,49.33708485734462,1.0
8.86,49.27848486451785,1.0
8.88,49.21999861754955,1.0
8.9,49.16162611643978,1.0
8.92,49.103367361188475,1.0
8.94,49.045222351795644,1.0
8.95105,49.01314601721663,1.0
8.95105,49.01314601721663,1.0
8.96,49.026778735029666,0.0
8.98,49.14775790253941,0.0
9.0,49.26838045868635,0.0
9.02,49.388791960402955,0.0
9.04,49.50899240768911,0.0
9.06,49.628981800544864,0.0
9.08,49.748638356582035,0.0
9.1,49.867957267699296,0.0
9.12,49.98699747141012,0.0
9.14,50.105758967714564,0.0
9.16,50.22424175661257,0.0
9.18,50.3424154513952,0.0
9.2,50.46027015466092,0.0
9.22,50.57782646084701,0.0
9.24,50.69508436995346,0.0
9.26,50.8120438819804,0.0
9.28,50.928699328396306,0.0
9.28736,50.97155062033613,0.0
9.28736,50.97155062033613,0.0
9.3,50.97605230874126,1.0
9.32,50.91435723738965,1.0
9.34,50.852863621907716,1.0
9.36,50.791451692501084,1.0
9.38,50.73012144916987,1.0
9.4,50.66887289191396,1.0
9.42,50.607706020733474,1.0
9.44,50.54662083562829,1.0
9.46,50.48561733659841,1.0
9.48,50.42478389101734,1.0
9.5,50.36407940247136,1.0
9.52,50.30348270505078,1.0
9.54,50.24299379875555,1.0
9.56,50.18261268358566,1.0
9.58,50.122339359541115,1.0
9.6,50.062173826621915,1.0
9.62,50.00211608482812,1.0
9.64,49.94219804875286,1.0
9.66,49.88239622104106,1.0
9.68,49.822709684315726,1.0
9.7,49.763138438576846,1.0
9.72,49.70368248382442,1.0
9.74,49.64434182005846,1.0
9.76,49.58511644727895,1.0
9.78,49.52600723196679,1.0
9.8,49.46701868338528,1.0
9.82,49.408146261727836,1.0
9.84,49.34938996699452,1.0
9.86,49.29074979918528,1.0
9.88,49.23222575830016,1.0
9.9,49.17381784433911,1.0
9.92,49.11552605730219,1.0
9.94,49.05735039718934,1.0
9.95419,49.01614519094625,1.0
9.95419,49.01614519094625,1.0
9.96,49.00145050527124,0.0
9.98,49.12282432705376,0.0
10.0,49.243885726337055,0.0
